lea_no,lea_name,school_no,school_name,eligible,participating,isp
111,Asheville City Schools,306,Isaac Dickson Elementary,, ,0.3245
111,Asheville City Schools,312,Claxton Elementary,, ,0.3644
111,Asheville City Schools,332,Ira B Jones Elementary,, ,0.3814
111,Asheville City Schools,356,Asheville Middle,, ,0.3524
111,Asheville City Schools,360,Vance Elementary,, ,0.3602
111,Asheville City Schools,700,School of Inquiry & Life Science,, ,0.1629
120,Burke County Schools,304,Chesterfield Elementary,X, ,0.593
120,Burke County Schools,308,Hallyburton Academy,X, ,0.4912
120,Burke County Schools,310,Burke Middle College,, ,0.1532
120,Burke County Schools,312,Drexel Elementary,X, ,0.4447
120,Burke County Schools,314,East Burke High,, ,0.2733
120,Burke County Schools,315,East Burke Middle,, ,0.3419
120,Burke County Schools,316,Forest Hill Elementary,X, ,0.4315
120,Burke County Schools,318,Freedom High,, ,0.2675
120,Burke County Schools,320,George Hildebrand Elementary,X, ,0.4492
120,Burke County Schools,324,Glen Alpine Elementary,X, ,0.5011
120,Burke County Schools,334,Heritage Middle,, ,0.2994
120,Burke County Schools,338,Hildebran Elementary,X, ,0.4185
120,Burke County Schools,340,Hillcrest Elementary,X, ,0.5487
120,Burke County Schools,344,Icard Elementary,X, ,0.4491
120,Burke County Schools,346,Jimmy C. Draughn High School,, ,0.2255
120,Burke County Schools,350,Liberty Middle,, ,0.2514
120,Burke County Schools,352,North Liberty,X, ,0.402
120,Burke County Schools,360,Mull Elementary,X, ,0.4365
120,Burke County Schools,364,Oak Hill Elementary,X, ,0.4157
120,Burke County Schools,368,Ray Childers Elementary,X, ,0.4176
120,Burke County Schools,370,Robert L. Patton High School,, ,0.2194
120,Burke County Schools,372,Rutherford College Elem,, ,0.3301
120,Burke County Schools,374,Salem Elementary,, ,0.3423
120,Burke County Schools,376,Table Rock Middle,, ,0.3858
120,Burke County Schools,380,Valdese Elementary,X, ,0.4357
120,Burke County Schools,386,W A Young Elementary,X, ,0.4176
120,Burke County Schools,390,Walter R Johnson Middle,X, ,0.4068
130,Cabarrus County Schools,114,Mary Frances Wall,, ,0.2495
130,Cabarrus County Schools,115,The Lockhart Early Learning Center,X, ,1
130,Cabarrus County Schools,150,Long Pre-School,X,X,0.854
130,Cabarrus County Schools,304,A T Allen Elementary,X, ,0.4007
130,Cabarrus County Schools,307,Cox Mill High School,, ,0.0743
130,Cabarrus County Schools,308,Bethel Elementary,, ,0.2825
130,Cabarrus County Schools,309,Beverly Hills Elementary,X, ,0.4314
130,Cabarrus County Schools,310,Central Cabarrus High,, ,0.247
130,Cabarrus County Schools,311,Coltrane Webb Magnet Elementary,, ,0.3428
130,Cabarrus County Schools,312,Harrisburg Elementary,, ,0.0656
130,Cabarrus County Schools,313,Concord Middle,X, ,0.5198
130,Cabarrus County Schools,314,Concord High,, ,0.3374
130,Cabarrus County Schools,315,JN Fries Magnet Middle,, ,0.1027
130,Cabarrus County Schools,316,Jay M Robinson High,, ,0.2718
130,Cabarrus County Schools,317,Opportunity School,X, ,0.5536
130,Cabarrus County Schools,318,C C Griffin Middle,, ,0.3423
130,Cabarrus County Schools,319,Cox Mill Elementary,, ,0.0355
130,Cabarrus County Schools,320,Harris Road Middle,, ,0.0726
130,Cabarrus County Schools,321,Carl A Furr Elementary,, ,0.2895
130,Cabarrus County Schools,322,Mount Pleasant Elementary,, ,0.27
130,Cabarrus County Schools,323,Mount Pleasant Middle,, ,0.2605
130,Cabarrus County Schools,324,Mount Pleasant High,, ,0.2017
130,Cabarrus County Schools,325,Charles E. Boger Elementary,, ,0.2196
130,Cabarrus County Schools,326,Northwest Cabarrus High,, ,0.2467
130,Cabarrus County Schools,327,Northwest Cabarrus Middle,, ,0.3059
130,Cabarrus County Schools,328,Royal Oaks Elementary,X,X,0.6883
130,Cabarrus County Schools,329,Rocky River Elementary,X, ,0.457
130,Cabarrus County Schools,330,R B McAllister Elementary,, ,0.3761
130,Cabarrus County Schools,331,Pitts School Road Elementary,, ,0.1998
130,Cabarrus County Schools,332,Hickory Ridge High School,, ,0.0669
130,Cabarrus County Schools,333,Performance Learning Center,, ,0.2439
130,Cabarrus County Schools,336,W R Odell Elementary,, ,0.0833
130,Cabarrus County Schools,337,Odell Intermediate School,, ,0.0889
130,Cabarrus County Schools,338,Weddington Hills Elementary,X, ,0.4041
130,Cabarrus County Schools,340,Winecoff Elementary,X, ,0.4933
130,Cabarrus County Schools,342,W M Irvin Elementary,X, ,0.5577
130,Cabarrus County Schools,344,Wolf Meadow Elementary,X,X,0.6033
130,Cabarrus County Schools,345,Patriot's Elementary School,, ,0.1542
130,Cabarrus County Schools,346,Hickory Ridge Middle School,, ,0.1023
130,Cabarrus County Schools,349,Cabarrus Early College of Technology,, ,0.1774
130,Cabarrus County Schools,350,Cabarrus-Kannapolis Early College High School,, ,0.1787
130,Cabarrus County Schools,355,Winkler Middle School,, ,0.3093
132,Kannapolis City Schools,240,McKnight Head Start,X,X,1
132,Kannapolis City Schools,304,A L Brown High,,X,0.3988
132,Kannapolis City Schools,308,Forest Park Elementary,,X,0.3929
132,Kannapolis City Schools,312,Fred L Wilson Elementary,X,X,0.5352
132,Kannapolis City Schools,328,Jackson Park Elementary,X,X,0.4388
132,Kannapolis City Schools,329,Kannapolis Interm,X,X,0.4857
132,Kannapolis City Schools,330,Kannapolis Middle,X,X,0.4587
132,Kannapolis City Schools,332,Shady Brook Elementary,X,X,0.5
132,Kannapolis City Schools,336,Woodrow Wilson Elementary,X,X,0.5791
140,Caldwell County Schools,304,Baton Elementary,, ,0.3986
140,Caldwell County Schools,305,Caldwell Co Career Ctr,, ,0.1762
140,Caldwell County Schools,306,Caldwell Co Gateway Sch,X,X,0.5682
140,Caldwell County Schools,307,Horizons Elementary,X,X,0.6735
140,Caldwell County Schools,308,Collettsville School,, ,0.3761
140,Caldwell County Schools,309,Caldwell County Early College,, ,0.1692
140,Caldwell County Schools,312,Davenport Elementary,X, ,0.5077
140,Caldwell County Schools,316,Dudley Shoals Elementary,X, ,0.4037
140,Caldwell County Schools,324,Gamewell Elementary,X,X,0.4727
140,Caldwell County Schools,332,Gamewell Middle,X, ,0.5309
140,Caldwell County Schools,336,Granite Falls Middle,, ,0.2946
140,Caldwell County Schools,340,Granite Falls Elementary,, ,0.3144
140,Caldwell County Schools,344,Happy Valley Elementary,X, ,0.4024
140,Caldwell County Schools,348,Hibriten High,, ,0.3321
140,Caldwell County Schools,352,Hudson Elementary,, ,0.3758
140,Caldwell County Schools,356,Hudson Middle,, ,0.2944
140,Caldwell County Schools,360,Kings Creek Elementary,, ,0.3594
140,Caldwell County Schools,368,William Lenoir Middle,X, ,0.4164
140,Caldwell County Schools,372,Lower Creek Elementary,, ,0.3269
140,Caldwell County Schools,376,Oak Hill Elementary,, ,0.3721
140,Caldwell County Schools,384,Sawmills Elementary,X, ,0.4108
140,Caldwell County Schools,386,South Caldwell High,, ,0.2584
140,Caldwell County Schools,388,Valmead Basic,X,X,0.7381
140,Caldwell County Schools,390,West Caldwell High,, ,0.3943
140,Caldwell County Schools,392,West Lenoir Elementary,X,X,0.675
140,Caldwell County Schools,396,Whitnel Elementary,X,X,0.5503
150,Camden County Schools,304,Camden County High,, ,0.1393
150,Camden County Schools,308,Grandy Primary,, ,0.2129
150,Camden County Schools,310,Camden Intermediate School,, ,0.2061
150,Camden County Schools,312,Camden Middle,, ,0.1783
150,Camden County Schools,350,Camden Early College High School,, ,0.1457
160,Carteret County Public Schools,169,Carteret PreSchool Center,X, ,0.4194
160,Carteret County Public Schools,304,Atlantic Elementary,, ,0.3068
160,Carteret County Public Schools,306,Bogue Sound Elementary,, ,0.3515
160,Carteret County Public Schools,308,Beaufort Elementary,X, ,0.4939
160,Carteret County Public Schools,309,Bridges Learning Center,X, ,0.5
160,Carteret County Public Schools,310,Beaufort Middle,, ,0.3768
160,Carteret County Public Schools,311,Broad Creek Middle,, ,0.1803
160,Carteret County Public Schools,313,East Carteret High,, ,0.2976
160,Carteret County Public Schools,314,Croatan High,, ,0.1324
160,Carteret County Public Schools,316,Harkers Island Elementary,X, ,0.4239
160,Carteret County Public Schools,317,Morehead Elem at Camp Glenn,, ,0.3974
160,Carteret County Public Schools,318,Morehead City Middle,, ,0.2877
160,Carteret County Public Schools,322,Morehead City Primary,X, ,0.4263
160,Carteret County Public Schools,324,Newport Elementary,X, ,0.4501
160,Carteret County Public Schools,326,Newport Middle,X, ,0.4165
160,Carteret County Public Schools,332,Smyrna Elementary,, ,0.2904
160,Carteret County Public Schools,344,West Carteret High,, ,0.2515
160,Carteret County Public Schools,352,White Oak Elementary,, ,0.1864
170,Caswell County Schools,316,Bartlett Yancey High,X, ,0.4057
170,Caswell County Schools,334,North Elementary,X,X,0.587
170,Caswell County Schools,338,N L Dillard Middle,X, ,0.4874
170,Caswell County Schools,339,Oakwood Elementary,X,X,0.6233
170,Caswell County Schools,342,South Elementary,X,X,0.4563
170,Caswell County Schools,344,Stoney Creek Elementary,X,X,0.5855
180,Catawba County Schools,302,Harry M Arndt Middle,, ,0.3056
180,Catawba County Schools,304,Balls Creek Elementary,, ,0.3256
180,Catawba County Schools,308,Bandys High,, ,0.175
180,Catawba County Schools,312,Banoak Elementary,, ,0.3652
180,Catawba County Schools,316,Blackburn Elementary,, ,0.2976
180,Catawba County Schools,320,Bunker Hill High,, ,0.2798
180,Catawba County Schools,323,Catawba Rosenwald Education Center,X, ,0.4211
180,Catawba County Schools,324,Catawba Elementary,X, ,0.4697
180,Catawba County Schools,325,Catawba Valley Early College High School,, ,0.1913
180,Catawba County Schools,326,Charles H Tuttle Elementary,, ,0.2848
180,Catawba County Schools,332,Claremont Elementary,X, ,0.441
180,Catawba County Schools,336,Clyde Campbell Elementary,, ,0.2732
180,Catawba County Schools,340,Fred T Foard High,, ,0.2092
180,Catawba County Schools,342,Jacobs Fork Middle,, ,0.2434
180,Catawba County Schools,343,Lyle Creek Elementary,, ,0.3359
180,Catawba County Schools,344,Maiden Elementary,X, ,0.439
180,Catawba County Schools,346,Maiden Middle,, ,0.2445
180,Catawba County Schools,348,Maiden High,, ,0.1998
180,Catawba County Schools,352,Mill Creek Middle,, ,0.2005
180,Catawba County Schools,356,Mountain View Elementary,, ,0.2649
180,Catawba County Schools,360,Oxford Elementary,X, ,0.4481
180,Catawba County Schools,364,River Bend Middle,, ,0.3475
180,Catawba County Schools,368,Sherrills Ford Elementary,, ,0.1857
180,Catawba County Schools,372,Saint Stephens Elementary,X,X,0.5508
180,Catawba County Schools,376,Saint Stephens High,, ,0.25
180,Catawba County Schools,379,Snow Creek Elementary,, ,0.292
180,Catawba County Schools,380,Startown Elementary,, ,0.3228
180,Catawba County Schools,388,Webb A Murray Elementary,X, ,0.4298
181,Hickory City Schools,312,Northview Middle,, ,0.3536
181,Hickory City Schools,316,Grandview Middle,X, ,0.524
181,Hickory City Schools,318,Hickory Career and Arts Magnet,X,X,0.5294
181,Hickory City Schools,322,Hickory High,, ,0.3072
181,Hickory City Schools,326,W M Jenkins Elementary,, ,0.335
181,Hickory City Schools,332,Longview Elementary,X,X,0.7059
181,Hickory City Schools,336,Oakwood Elementary,, ,0.3747
181,Hickory City Schools,342,Southwest Elementary,X,X,0.4603
181,Hickory City Schools,344,Viewmont Elementary,X, ,0.5172
182,Newton Conover City Schools,304,Conover Special Education,, ,0.3069
182,Newton Conover City Schools,316,Newton-Conover High,, ,0.319
182,Newton Conover City Schools,321,Newton-Conover Middle,, ,0.3587
182,Newton Conover City Schools,322,Shuford Elementary,, ,0.3585
182,Newton Conover City Schools,324,South Newton Elementary,X, ,0.5513
182,Newton Conover City Schools,328,North Newton E. S.,X, ,0.5158
182,Newton Conover City Schools,700,The Discovery High School at Newton Conover,, ,0.0804
190,Chatham County Schools,304,Bennett Elementary,, ,0.3026
190,Chatham County Schools,308,Bonlee Elementary,, ,0.3344
190,Chatham County Schools,310,SAGE Academy,X, ,0.4211
190,Chatham County Schools,312,Chatham Middle,X, ,0.4762
190,Chatham County Schools,316,Chatham Central High,, ,0.2625
190,Chatham County Schools,328,Horton Middle,, ,0.2274
190,Chatham County Schools,332,J S Waters Elementary,, ,0.363
190,Chatham County Schools,336,Jordan Matthews High,X, ,0.4005
190,Chatham County Schools,339,Margaret B. Pollard Middle School,, ,0.0977
190,Chatham County Schools,340,Moncure Elementary,, ,0.2712
190,Chatham County Schools,341,North Chatham Elementary,, ,0.2224
190,Chatham County Schools,342,Northwood High,, ,0.1465
190,Chatham County Schools,346,Perry W Harrison Elementary,, ,0.1105
190,Chatham County Schools,348,Pittsboro Elementary,, ,0.2623
190,Chatham County Schools,350,Siler City Elementary,X, ,0.467
190,Chatham County Schools,352,Silk Hope Elementary,, ,0.2933
190,Chatham County Schools,370,Virginia Cross Elementary School,X, ,0.5563
190,Chatham County Schools,501,Chatham School of Science & Engineering,, ,0
200,Cherokee County Schools,304,Andrews Elementary School,X,X,0.5192
200,Cherokee County Schools,308,Andrews High,, ,0.393
200,Cherokee County Schools,310,Andrews Middle,X,X,0.4309
200,Cherokee County Schools,312,Hiwassee Dam Elementary/Middle,X,X,0.4241
200,Cherokee County Schools,314,Hiwassee Dam High,, ,0.3444
200,Cherokee County Schools,316,Marble Elementary,X,X,0.4274
200,Cherokee County Schools,320,Martins Creek Elementary/Mid,X,X,0.4439
200,Cherokee County Schools,322,The Oaks Academy,X,X,0.86
200,Cherokee County Schools,324,Murphy Elementary School,X,X,0.4523
200,Cherokee County Schools,328,Murphy High,, ,0.3194
200,Cherokee County Schools,330,Murphy Middle,,X,0.3651
200,Cherokee County Schools,332,Peachtree Elementary School,X,X,0.5399
200,Cherokee County Schools,336,Ranger Elementary/Middle,X,X,0.5016
200,Cherokee County Schools,350,Tri-County Early College High School,, ,0.2449
210,Edenton/Chowan Schools,304,Chowan Middle,, ,0.375
210,Edenton/Chowan Schools,306,D F Walker Elementary,X, ,0.4129
210,Edenton/Chowan Schools,312,John A Holmes High,, ,0.2934
210,Edenton/Chowan Schools,316,White Oak Elementary,X, ,0.4425
220,Clay County Schools,308,Hayesville Elementary,X, ,0.4307
220,Clay County Schools,310,Hayesville High,, ,0.2619
220,Clay County Schools,312,Hayesville Middle,, ,0.3079
230,Cleveland County Schools,304,Bethware Elementary,X,X,0.5574
230,Cleveland County Schools,308,Boiling Springs Elementary,X, ,0.4851
230,Cleveland County Schools,312,Burns High,, ,0.3583
230,Cleveland County Schools,316,Burns Middle,X, ,0.4659
230,Cleveland County Schools,320,Casar Elem School,X,X,0.5106
230,Cleveland County Schools,322,Cleveland Early College High School,, ,0.3284
230,Cleveland County Schools,324,Crest High School,, ,0.3495
230,Cleveland County Schools,328,Crest Mid Sch of Technology,X, ,0.4235
230,Cleveland County Schools,330,Turning Point Academy,X,X,0.7239
230,Cleveland County Schools,334,East Elementary,X,X,0.6627
230,Cleveland County Schools,336,Shelby Intermediate School,X,X,0.5375
230,Cleveland County Schools,340,Fallston Elementary,X,X,0.5131
230,Cleveland County Schools,342,Graham Elementary,X,X,0.8875
230,Cleveland County Schools,344,Grover Elementary,X,X,0.6056
230,Cleveland County Schools,346,James Love Elementary,X,X,0.797
230,Cleveland County Schools,348,Jefferson Elementary,X,X,0.5515
230,Cleveland County Schools,350,Kings Mountain High,, ,0.3358
230,Cleveland County Schools,351,Kings Mountain Intermediate,X, ,0.4838
230,Cleveland County Schools,352,Kings Mountain Middle,X, ,0.4307
230,Cleveland County Schools,355,Marion Elementary School,X,X,0.6374
230,Cleveland County Schools,357,North Elementary,X,X,0.6865
230,Cleveland County Schools,359,North Shelby,X,X,0.5047
230,Cleveland County Schools,361,Shelby High,X, ,0.4569
230,Cleveland County Schools,362,Shelby Middle,X,X,0.5089
230,Cleveland County Schools,364,Springmore Elementary,X, ,0.4293
230,Cleveland County Schools,368,Township Three Elementary,X,X,0.6692
230,Cleveland County Schools,370,Union Elementary,X,X,0.5596
230,Cleveland County Schools,376,Washington Math and Science,X,X,0.6746
230,Cleveland County Schools,380,West Elementary,, ,0.3506
240,Columbus County Schools,304,Acme Delco Middle,X,X,0.6222
240,Columbus County Schools,308,Acme Delco Elementary,X,X,0.6424
240,Columbus County Schools,328,Cerro Gordo Elementary,X,X,0.6427
240,Columbus County Schools,330,Chadbourn Middle,X,X,0.8273
240,Columbus County Schools,332,Chadbourn Elementary,X,X,0.8498
240,Columbus County Schools,334,East Columbus High,X,X,0.5628
240,Columbus County Schools,344,Evergreen Elementary,X,X,0.7306
240,Columbus County Schools,352,Guideway Elementary,X,X,0.7308
240,Columbus County Schools,354,Hallsboro-Artesia Elem,X,X,0.7215
240,Columbus County Schools,356,Hallsboro Middle,X,X,0.6744
